0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Type_Of_Ownership,Industry,Min_Salary,Max_Salary,Avg_Salary,Job_State,Same_State,Company_Age,Python,Excel,Hadoop,Spark,Aws,Tableau,Big_Data,Seniority,Hq_State
Sr Data Scientist,137-171 ,3.1,Healthfirst,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,137,171,154, NY,1,27,0,0,0,0,1,0,0,senior,NY
Data Scientist,137-171 ,4.2,ManTech,"Chantilly, VA",5001 to 10000 employees,Company - Public,Research & Development,137,171,154, VA,0,52,0,0,1,0,0,0,1,,VA
Data Scientist,137-171 ,3.8,Analysis Group,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,137,171,154, MA,1,39,1,1,0,0,1,0,0,,MA
Data Scientist,137-171 ,3.5,INFICON,"Newton, MA",501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,137,171,154, MA,0,20,1,1,0,0,1,0,0,,
Data Scientist,137-171 ,2.9,Affinity Solutions,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,137,171,154, NY,1,22,1,1,0,0,0,0,0,,NY
Data Scientist,137-171 ,4.2,HG Insights,"Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,137,171,154, CA,1,10,1,1,1,1,0,0,0,,CA
Data Scientist / Machine Learning Expert,137-171 ,3.9,Novartis,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,137,171,154, MA,0,24,1,0,0,0,0,0,0,,
Data Scientist,137-171 ,3.5,iRobot,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,137,171,154, MA,1,30,1,0,0,0,0,0,0,,MA
Staff Data Scientist - Analytics,137-171 ,4.4,Intuit - Data,"San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,137,171,154, CA,0,37,0,0,0,0,0,0,0,,CA
Data Scientist,137-171 ,3.6,XSELL Technologies,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,137,171,154, IL,1,6,1,0,0,0,0,0,0,,IL
Data Scientist,137-171 ,4.5,Novetta,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,137,171,154, VA,0,8,1,1,0,0,1,0,0,,VA
Data Scientist,137-171 ,4.7,1904labs,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,137,171,154, MO,1,4,1,0,0,1,0,0,0,,MO
"Data Scientist - Statistics, Early Career",137-171 ,3.7,PNNL,"Richland, WA",1001 to 5000 employees,Government,Energy,137,171,154, WA,1,55,0,1,0,0,0,0,0,,WA
Data Modeler,137-171 ,3.1,Old World Industries,"Northbrook, IL",201 to 500 employees,Company - Private,Chemical Manufacturing,137,171,154, IL,1,47,1,1,0,0,0,1,0,,IL
Data Scientist,137-171 ,3.4,Mathematica Policy Research,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,137,171,154, DC,0,34,1,1,0,0,1,0,0,,NJ
Experienced Data Scientist,137-171 ,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC",1 to 50 employees,Company - Private,Federal Agencies,137,171,154, DC,0,23,1,1,1,1,0,1,0,,NJ
Data Scientist,137-171 ,3.5,Buckman,"Memphis, TN",1001 to 5000 employees,Company - Private,Chemical Manufacturing,137,171,154, TN,1,75,1,0,1,0,0,0,0,,TN
Data Analyst II,137-171 ,4.2,"Insight Enterprises, Inc.","Plano, TX",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,137,171,154, TX,0,32,0,1,0,0,0,0,0,,AZ
Medical Lab Scientist,137-171 ,3.5,Tower Health,"West Grove, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,137,171,154, PA,0,3,0,0,0,0,0,0,0,,PA
Data Scientist,137-171 ,3.2,Triplebyte,"New York, NY",51 to 200 employees,Company - Private,Computer Hardware & Software,137,171,154, NY,0,5,0,0,0,0,0,0,0,,CA
Data Scientist/Machine Learning,137-171 ,4.3,PulsePoint,"New York, NY",51 to 200 employees,Company - Private,Internet,137,171,154, NY,1,9,1,0,1,1,0,0,1,,NY
Human Factors Scientist,137-171 ,3.5,Exponent,"Phoenix, AZ",1001 to 5000 employees,Company - Public,Consulting,137,171,154, AZ,0,53,0,1,0,0,0,0,0,,CA
Business Intelligence Analyst I- Data Insights,137-171 ,3.5,Guardian Life,"Appleton, WI",5001 to 10000 employees,Company - Private,Insurance Carriers,137,171,154, WI,0,160,0,0,0,0,0,0,0,,NY
Data Scientist,137-171 ,3.4,Spectrum Communications and Consulting,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,137,171,154, IL,1,28,0,0,0,0,0,0,0,,IL
Data Scientist,137-171 ,4.7,Oversight Systems,"Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,137,171,154, GA,1,17,1,1,0,0,0,0,0,,GA
Data Scientist - Risk,137-171 ,4.2,LSQ,"Orlando, FL",51 to 200 employees,Company - Private,Investment Banking & Asset Management,137,171,154, FL,1,24,1,1,1,1,1,1,1,,FL
Data Scientist-Human Resources,137-171 ,3.8,MIT Lincoln Laboratory,"Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,137,171,154, MA,1,69,1,0,1,1,0,0,1,,MA
Data Scientist,137-171 ,4.5,Kingfisher Systems,"McLean, VA",51 to 200 employees,Company - Private,Federal Agencies,137,171,154, VA,0,15,1,0,0,0,0,1,0,,VA
Data Scientist,137-171 ,2.8,Formation,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,137,171,154, CA,1,5,0,1,0,1,0,0,1,,CA
Data Scientist,75-131 ,3.8,Analysis Group,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,75,131,103, MA,1,39,1,1,0,0,1,0,0,,MA
Data Scientist / Machine Learning Expert,75-131 ,3.9,Novartis,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,75,131,103, MA,0,24,1,0,0,0,0,0,0,,
